Name,SMILES,Stereo_tag,Metal_Name,Metal_SMILES,Ligand_Name,Ligand_SMILES,Diazo_Name,Diazo_SMILES
M4_L1_D1,[Cu+].CC(C)[C@H]1COC(C(C)(C)C2=N[C@@H](C(C)C)CO2)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L1,CC(C)[C@H]1COC(C(C)(C)C2=N[C@@H](C(C)C)CO2)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L2_D1,[Cu+].CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L2,CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L3_D1,[Cu+].CC(C)C[C@H]1COC(C(C#N)C2=N[C@@H](CC(C)C)CO2)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L3,CC(C)C[C@H]1COC(C(C#N)C2=N[C@@H](CC(C)C)CO2)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L4_D1,[Cu+].CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L4,CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L5_D1,[Cu+].CC[C@@H]1CC[C@@H](CC)P1c1ccccc1P1[C@H](CC)CC[C@H]1CC.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L5,CC[C@@H]1CC[C@@H](CC)P1c1ccccc1P1[C@H](CC)CC[C@H]1CC,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L6_D1,[Cu+].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L6,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L7_D1,[Cu+].CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)n2)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L7,CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)n2)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L8_D1,[Cu+].c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L8,c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L9_D1,[Cu+].c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L9,c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L10_D1,[Cu+].c1ccc([C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](c6ccccc6)CO5)c43)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L10,c1ccc([C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](c6ccccc6)CO5)c43)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L11_D1,[Cu+].c1ccc(C[C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](Cc6ccccc6)CO5)c43)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L11,c1ccc(C[C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](Cc6ccccc6)CO5)c43)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L12_D1,[Cu+].CC(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L12,CC(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L13_D1,[Cu+].CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L13,CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
