Name,SMILES
L1,CC(C)[C@H]1COC(C(C)(C)C2=N[C@@H](C(C)C)CO2)=N1
L2,CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1
L3,CC(C)C[C@H]1COC(C(C#N)C2=N[C@@H](CC(C)C)CO2)=N1
L4,CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1
L5,CC[C@@H]1CC[C@@H](CC)P1c1ccccc1P1[C@H](CC)CC[C@H]1CC
L6,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
L7,CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)n2)=N1
L8,c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1
L9,c1ccc([C@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1
L10,c1ccc([C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](c6ccccc6)CO5)c43)=N2)cc1
L11,c1ccc(C[C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](Cc6ccccc6)CO5)c43)=N2)cc1
L12,CC(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1
L13,CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1
L14,c1ccc([C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](c6ccccc6)CO5)c43)=N2)cc1
L15,CC(C)(C1=N[C@H](C(C)(C)C)CO1)C1=N[C@H](C(C)(C)C)CO1
L16,c1cc2c(c(C3=NCCO3)c1)C1(CC2)CCc2cccc(C3=NCCO3)c21
L17,c1ccc([C@H]2COC(c3cccc(C4=N[C@@H](c5ccccc5)CO4)n3)=N2)cc1
L18,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1
L19,CC(C)(C)P(c1ccccc1[C@H]1N(c2ccccc2)C(=O)[C@@H]2Cc3ccccc3N21)C(C)(C)C
L20,c1ccc([C@@H]2COC([C@H]3[C@H]4c5ccccc5[C@H](c5ccccc54)[C@@H]3C3=N[C@H](c4ccccc4)CO3)=N2)cc1
L21,CC(C)C[C@@H]1COC([C@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@@H]2C2=N[C@H](CC(C)C)CO2)=N1
L22,CC(C)(C)[C@H]1COC([C@@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@H]2C2=N[C@@H](C(C)(C)C)CO2)=N1
L23,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](Cc5ccccc5)CO4)c32)c2c(C3=N[C@@H](Cc4ccccc4)CO3)cccc21
L24,C[C@@H]1Oc2cccnc2-c2ncccc2O[C@H]1C
L25,C[C@H]1CC[C@H](C)Oc2cccnc2-c2ncccc2O1
L26,C[C@H]1C[C@H](C)Oc2cccnc2-c2ncccc2O1
L27,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3
L28,c1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccccc4)cc4ccccc4c2-3)cc1
L29,Fc1ccc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4ccc(F)cc4)cc4ccccc4c2-3)cc1
L30,c1ccc(-c2cc(-c3ccccc3)cc(-c3cc4ccccc4c4c3Cn3ccnc3-c3nccn3Cc3c(-c5cc(-c6ccccc6)cc(-c6ccccc6)c5)cc5ccccc5c3-4)c2)cc1
L31,Fc1cc(-c2cc3ccccc3c3c2Cn2ccnc2-c2nccn2Cc2c(-c4cc(F)c(F)c(F)c4)cc4ccccc4c2-3)cc(F)c1F
L32,c1ccc2cc(-c3cc4ccccc4c4c3Cn3ccnc3-c3nccn3Cc3c(-c5ccc6ccccc6c5)cc5ccccc5c3-4)ccc2c1
L33,CC(C)[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1
L34,O=C1N[C@@H](c2cc3ccccc3c(-c3c(O)c([C@@H]4NC(=O)[C@@H]5CCC[N@+]54[O-])cc4ccccc34)c2O)[N@+]2([O-])CCC[C@@H]12
L35,O=C1N[C@@H](c2cc3ccccc3c(-c3c(O)c([C@@H]4NC(=O)[C@@H]5CCCN54)cc4ccccc34)c2O)N2CCC[C@@H]12
L36,O=C1N[C@H](c2cc3ccccc3c(-c3c(O)c([C@H]4NC(=O)[C@@H]5CCCN45)cc4ccccc34)c2O)N2CCC[C@@H]12
L37,O=C1N[C@H](c2cc3c(c(-c4c(O)c([C@H]5NC(=O)[C@@H]6CCCN56)cc5c4CCCC5)c2O)CCCC3)N2CCC[C@@H]12
L38,COCOc1c([C@H]2NC(=O)[C@@H]3CCCN23)cc2ccccc2c1-c1c(OCOC)c([C@H]2NC(=O)[C@@H]3CCCN23)cc2ccccc12
L39,O=C1N[C@H](c2cccc([C@H]3NC(=O)[C@@H]4CCCN34)c2)N2CCC[C@@H]12
L40,C[C@@H](c1ccccc1)N(C)Cc1cc2ccccc2c(-c2c(O)c(CN(C)[C@@H](C)c3ccccc3)cc3ccccc23)c1O
L41,C[C@@H](c1ccccc1)N(C)Cc1cc2ccccc2c(-c2c(O)c(CN(C)[C@@H](C)c3ccccc3)cc3ccccc23)c1O
L42,CC[C@H](C)[C@H]1COC(c2cccc3c2[Si]2(CC3)CCc3cccc(C4=N[C@@H]([C@@H](C)CC)CO4)c32)=N1
L43,Clc1cccc(Cl)c1/C=N/[C@@H]1CCCC[C@H]1/N=C/c1c(Cl)cccc1Cl
L44,CC(CC1=N[C@H]2c3ccccc3C[C@H]2O1)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1
L45,c1ccc(C[C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@@H](Cc6ccccc6)CO5)c43)=N2)cc1
L46,CC(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1
L47,CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1
L48,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](c5ccccc5)CO4)c32)c2c(C3=N[C@@H](c4ccccc4)CO3)cccc21
L49,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@H](c5ccccc5)CO4)c32)c2c(C3=N[C@H](c4ccccc4)CO3)cccc21
L50,CC1(C)[C@H]2Cc3cc(-c4ccccc4)[n+]([O-])c(-c4c5c(cc(-c6ccccc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L51,CC1(C)[C@H]2Cc3cc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)[n+]([O-])c(-c4c5c(cc(-c6cc(C(F)(F)F)cc(C(F)(F)F)c6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L52,CC1(C)[C@H]2Cc3cc(-c4ccc(F)cc4)[n+]([O-])c(-c4c5c(cc(-c6ccc(F)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2
L53,COc1ccc(-c2cc3c(c(-c4c5c(cc(-c6ccc(OC)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)[n+]2[O-])[C@@H]2C[C@H](C3)C2(C)C)cc1
L54,CC(C)(C)c1cc2c(c(-c3c4c(cc(C(C)(C)C)[n+]3[O-])C[C@H]3C[C@@H]4C3(C)C)[n+]1[O-])[C@@H]1C[C@H](C2)C1(C)C
